Device,Phase Reward,Recyclable Score,CO2 Emission Saved,Other Savings,CPU,Memory,Battery,Display,Keyboard,Plastics,Metals,Copper,Aluminum,Gold,Silver,Lead,Tin,Nickel,Zinc
Television,59.827808674193996,0,2.497442387672809,0.0651817277847,4,5,19,36,7,36,10,2.101235929184073,2.9919524858091675,0.38021795616917764,0.42687827101457887,0.5424239992238932,0.20932679605748228,0.5935768225484104,0.48171465466062746
Television,55.394110937876,0,0.27525917516711296,2.7808030544235263,40,9,5,37,36,36,35,3.436960499822044,4.958166491642157,0.5826939526177636,0.7163494517490171,0.9247262859656089,0.7750035410184828,0.6699437274211919,0.06891825775947635
Other,62.13791785067653,1,0.772979944981127,0.8994385260381182,17,23,25,0,39,24,42,4.465871504561724,1.8759872695792412,0.060296910086484856,0.08448933801117342,0.8560407054400583,0.13811704889888565,0.5621408246869645,0.16310651431590195
Accessories,45.42367029377004,1,5.585130677030698,9.036372458018693,22,24,41,0,9,26,36,2.711714911194236,2.484276810462323,0.1750929118607899,0.8098629375855515,0.25690340527076605,0.8872563519069643,0.6313906713118069,0.5830970988988651
Accessories,49.441762737283746,1,9.888404522193845,4.342302911707778,13,21,8,31,49,17,26,0.3088969046700957,3.282095558571738,0.5819965027228561,0.3399381721118996,0.8579262272166774,0.8236648892693127,0.8351101540331979,0.6389040508807138
Mobile,43.78141712125127,1,6.355361914968594,5.674398711416486,6,45,39,45,41,20,23,4.4858189560912844,3.228657231984217,0.6315957575572556,0.6848086755813299,0.6532712626983926,0.3867470705470546,0.3755423079443252,0.050317971801235206
Television,72.62786670852343,0,4.487730829724401,5.403165517742037,48,18,28,28,18,46,35,0.9193975290466094,0.2991462133506767,0.4050584990513707,0.26469916509687685,0.7843800814902784,0.4842554101385844,0.06111636036164547,0.7594433420610756
Other,72.64677636984288,0,0.6939652703711485,8.01062028811129,37,38,47,36,5,48,9,4.617404985620634,2.7850806581049503,0.862328670830574,0.9937152437178973,0.6257664385566443,0.6835658160646902,0.5741556872846116,0.6069922169457042
Laptop,95.28301641403792,0,6.9053485093389835,4.689194787969892,41,5,6,35,19,49,31,2.069495768172775,3.456905536290942,0.11624630709746575,0.14451544451860132,0.6431719012535937,0.07149132406832448,0.2785734762709081,0.7660603585957714
Laptop,32.717180793276064,0,9.448010808974963,9.671756408786655,27,22,16,27,8,42,48,4.8422788577578775,2.880991537554558,0.6543478333345714,0.4004980046350737,0.4593473532559862,0.06431969521964731,0.4897796642661696,0.04987523241569958
Accessories,83.51460742069361,1,9.580024311913503,0.7388761436039909,6,37,43,21,33,28,23,2.4679868362206987,3.101883055989503,0.19974696018839466,0.34419030322711175,0.20335328279553755,0.46524494503552183,0.005880028337176713,0.7434784587080467
Accessories,57.99283424917299,1,7.797625723495339,7.464769614118185,41,2,5,34,20,45,6,1.8281850385099259,0.7949481468899661,0.6938166112653381,0.03883541004227209,0.910479961917346,0.10830546969743049,0.05474110832583945,0.802234329227485
Refrigerator,93.35165746802593,0,4.322585722211102,1.486424146942228,25,31,45,28,18,44,38,4.756116097984737,2.128279667500009,0.12431305002538084,0.4502598177326951,0.21409652952644154,0.6678363297394831,0.6861484345001412,0.5789208757015296
Television,24.98703550629753,1,7.444108047854946,3.0804834368477225,1,18,27,42,28,34,24,3.405762761004245,0.6215047208985536,0.7742959097148999,0.19276701105140892,0.3308762453458991,0.3967789374062777,0.0337067899802882,0.3356674224563345
Mobile,74.18631985739998,0,3.218852430238417,4.037999868297616,2,35,0,9,43,28,19,4.137450109682815,3.0176478193314287,0.434484538499454,0.4079804598255531,0.950478654263697,0.5461222542556187,0.21443954440877777,0.3427490909347616
Accessories,71.43779296375465,0,7.262081533171209,4.182543310388212,38,27,39,28,49,40,47,1.3520319963113492,0.1599905273447294,0.4541587312016221,0.9572593599197615,0.6924952567782616,0.0641018128266787,0.8649219259789771,0.8015414932360155
Television,22.165822275371685,1,8.793884334602643,5.165502916399917,39,9,37,18,26,43,17,2.57970628505642,2.4123129623683064,0.43250384270758857,0.11747814007914648,0.8719484349961579,0.7217725124057661,0.13546165360317397,0.34311632160929795
Accessories,79.16481317857304,1,9.552131642897372,6.1185527630493635,14,6,20,35,44,43,38,0.7883755337588277,0.9640804962164717,0.6806031272664715,0.884631807242564,0.3792962675128768,0.5258207034886386,0.16294698291393128,0.004783210096539925
